N,smina,gnina,best,annotation,prefix,model
1.0,23.02486751223879,40.6803207002326,80.3686300793527,flex,nc,default2017
2.0,32.42158085560229,56.86645515179547,87.63861328183161,flex,nc,default2017
3.0,38.244732264398905,64.05368721758924,89.51073461237011,flex,nc,default2017
4.0,41.63413715800107,68.90485959358661,90.26583352462578,flex,nc,default2017
5.0,45.6563474209081,73.421971556866,90.39192404481936,flex,nc,default2017
6.0,49.13790464392752,75.78091794214882,90.52074259469055,flex,nc,default2017
7.0,51.525078224359184,78.06567810722613,90.83400076509157,flex,nc,default2017
8.0,55.426047238444134,80.07702093610693,90.84845999007712,flex,nc,default2017
9.0,56.86890634910057,81.52581164596828,90.90078861383432,flex,nc,default2017
10.0,58.46705427314287,82.91609487031154,90.90078861383432,flex,nc,default2017
