N,smina,gnina,best,annotation,prefix,model
1.0,11.877015462473944,25.158805133750366,58.21973135816147,max1,nc,default2017
2.0,20.63991776294903,38.851854236579015,67.9356016154158,max1,nc,default2017
3.0,25.9361637349786,46.60527115386075,71.61773861635322,max1,nc,default2017
4.0,29.15255853689017,52.66778471098037,73.61971480113934,max1,nc,default2017
5.0,32.26456404573991,56.23559740147414,74.42081130312103,max1,nc,default2017
6.0,35.69331743230033,59.22808774778721,74.70413324278974,max1,nc,default2017
7.0,37.990469835328426,61.167569609052116,75.50815726109947,max1,nc,default2017
8.0,41.420354508019535,62.90529876847732,75.78735175082028,max1,nc,default2017
9.0,42.95780512635592,64.68404015275378,75.78735175082028,max1,nc,default2017
10.0,44.68977289195495,65.47985503575059,75.93872820138142,max1,nc,default2017
