N,smina,gnina,best,annotation,prefix,model
1.0,11.877015462473944,25.50189464842779,58.21973135816147,max1,cluster,default2018
2.0,20.63991776294903,38.07876363573999,67.9356016154158,max1,cluster,default2018
3.0,25.9361637349786,45.0815344496441,71.61773861635322,max1,cluster,default2018
4.0,29.15255853689017,50.892032956220284,73.61971480113934,max1,cluster,default2018
5.0,32.26456404573991,55.38093339592293,74.42081130312103,max1,cluster,default2018
6.0,35.69331743230033,58.64714101491938,74.70413324278974,max1,cluster,default2018
7.0,37.990469835328426,60.55124480723407,75.50815726109947,max1,cluster,default2018
8.0,41.420354508019535,61.95887672484065,75.78735175082028,max1,cluster,default2018
9.0,42.95780512635592,63.7657675385864,75.78735175082028,max1,cluster,default2018
10.0,44.68977289195495,64.86779310702232,75.93872820138142,max1,cluster,default2018
