N,smina,gnina,best,annotation,prefix,model
1.0,5.8437212582935665,6.080059415047743,13.001666075078827,max1,nc,default2017
2.0,8.562613749215439,8.893848619298698,16.41535705568561,max1,nc,default2017
3.0,10.520724091537918,10.409024376730033,18.596032722631993,max1,nc,default2017
4.0,11.053228222763384,11.220556861208568,19.374668149814188,max1,nc,default2017
5.0,12.0580206192142,12.146656661841144,20.535568580656253,max1,nc,default2017
6.0,12.93940536032568,13.671579521395936,20.933180415515057,max1,nc,default2017
7.0,13.406008001878417,14.413909572959248,21.75039896048972,max1,nc,default2017
8.0,13.995931721888702,15.141631247793692,22.04334675343751,max1,nc,default2017
9.0,14.303508596572083,15.896846156191986,22.162394372485128,max1,nc,default2017
10.0,14.572434613662118,16.28251578105334,22.195694405785165,max1,nc,default2017
