N,smina,gnina,best,annotation,prefix,model
1.0,28.201176566398676,28.44352858901475,74.79001756068948,,cluster,default2017
2.0,36.78287727042567,38.08804358648713,74.79001756068948,,cluster,default2017
3.0,42.380985159676655,43.80541946302405,74.79001756068948,,cluster,default2017
4.0,45.07630407695096,47.54502478869696,74.79001756068948,,cluster,default2017
5.0,48.09237926520522,51.57955993899208,74.79001756068948,,cluster,default2017
6.0,50.264706619458224,53.48968413929314,74.79001756068948,,cluster,default2017
7.0,51.823790236246886,56.08118807169057,74.79001756068948,,cluster,default2017
8.0,53.401534232407826,57.57340370303979,74.79001756068948,,cluster,default2017
9.0,54.55383462676784,59.363599079398355,74.79001756068948,,cluster,default2017
10.0,55.81074577562224,61.12566558988661,74.79001756068948,,cluster,default2017
