N,smina,gnina,best,annotation,prefix,model
1.0,17.49331115163356,16.02350931562725,38.922678199602366,flex,cluster,default2018
2.0,23.845843556192865,23.076773596500786,46.761413513218514,flex,cluster,default2018
3.0,28.131396121088073,28.397642676465242,49.666924223650796,flex,cluster,default2018
4.0,30.014945142093822,31.342280805817428,50.61454731040777,flex,cluster,default2018
5.0,32.22067574059973,34.47769462378397,52.038616251800974,flex,cluster,default2018
6.0,33.8770101735644,36.24882496058721,52.72711948733922,flex,cluster,default2018
7.0,35.306105518048845,38.025939487618416,53.22505414160141,flex,cluster,default2018
8.0,36.86425451082922,39.02882723232982,53.459819376366646,flex,cluster,default2018
9.0,37.54172827636306,40.242079510887166,53.72015040592846,flex,cluster,default2018
10.0,38.5720368618253,41.15355314491125,53.85439116516922,flex,cluster,default2018
