N,smina,gnina,best,annotation,prefix,model
1.0,20.513314885007393,17.555049737768787,46.061976009801405,max2,cluster,default2018
2.0,28.290290301649105,26.594419229291596,54.3604274825525,max2,cluster,default2018
3.0,32.772976730839844,32.05947446952023,57.81384501579108,max2,cluster,default2018
4.0,34.96280801627795,35.585203494750466,59.57647818822659,max2,cluster,default2018
5.0,37.4469029240823,38.547251704446985,60.68321971007957,max2,cluster,default2018
6.0,39.29941823273165,41.471339505588816,61.301347887105265,max2,cluster,default2018
7.0,40.59398645644957,43.15999251519494,61.42622301198038,max2,cluster,default2018
8.0,42.25404745487511,45.24229340607852,61.63078035939488,max2,cluster,default2018
9.0,42.971103274418965,47.13457163922367,61.796487667959326,max2,cluster,default2018
10.0,44.181976682962926,48.28631689133365,61.89638776785943,max2,cluster,default2018
