N,smina,gnina,best,annotation,prefix,model
1.0,17.49331115163356,17.342760491774925,38.922678199602366,flex,nc,dense
2.0,23.845843556192865,24.046076786482935,46.761413513218514,flex,nc,dense
3.0,28.131396121088073,28.227385922033676,49.666924223650796,flex,nc,dense
4.0,30.014945142093822,32.29116506878837,50.61454731040777,flex,nc,dense
5.0,32.22067574059973,34.517636266840114,52.038616251800974,flex,nc,dense
6.0,33.8770101735644,36.73633517779888,52.72711948733922,flex,nc,dense
7.0,35.306105518048845,38.443652838464615,53.22505414160141,flex,nc,dense
8.0,36.86425451082922,40.09846683536309,53.459819376366646,flex,nc,dense
9.0,37.54172827636306,41.24444577693883,53.72015040592846,flex,nc,dense
10.0,38.5720368618253,42.45540646630666,53.85439116516922,flex,nc,dense
