N,smina,gnina,best,annotation,prefix,model
1.0,5.8437212582935665,4.917052446549501,13.001666075078827,max1,nc,dense
2.0,8.562613749215439,7.598086168448221,16.41535705568561,max1,nc,dense
3.0,10.520724091537918,9.269373912373238,18.596032722631993,max1,nc,dense
4.0,11.053228222763384,10.484080748905843,19.374668149814188,max1,nc,dense
5.0,12.0580206192142,11.403457626498996,20.535568580656253,max1,nc,dense
6.0,12.93940536032568,12.372232997552999,20.933180415515057,max1,nc,dense
7.0,13.406008001878417,13.38778593138711,21.75039896048972,max1,nc,dense
8.0,13.995931721888702,14.270061700217289,22.04334675343751,max1,nc,dense
9.0,14.303508596572083,14.763500927803879,22.162394372485128,max1,nc,dense
10.0,14.572434613662118,15.504292531411092,22.195694405785165,max1,nc,dense
