N,smina,gnina,best,annotation,prefix,model
1.0,20.513314885007393,18.44257405402088,46.061976009801405,max2,cluster,dense
2.0,28.290290301649105,27.47940188997781,54.3604274825525,max2,cluster,dense
3.0,32.772976730839844,33.07308333996429,57.81384501579108,max2,cluster,dense
4.0,34.96280801627795,35.532536380600334,59.57647818822659,max2,cluster,dense
5.0,37.4469029240823,38.1598987959363,60.68321971007957,max2,cluster,dense
6.0,39.29941823273165,40.37121247711663,61.301347887105265,max2,cluster,dense
7.0,40.59398645644957,42.33306069412375,61.42622301198038,max2,cluster,dense
8.0,42.25404745487511,44.22345778617378,61.63078035939488,max2,cluster,dense
9.0,42.971103274418965,45.683625993717826,61.796487667959326,max2,cluster,dense
10.0,44.181976682962926,46.837537879071846,61.89638776785943,max2,cluster,dense
