N,smina,gnina,best,annotation,prefix,model
1.0,23.02486751223879,41.03631585404392,80.3686300793527,flex,nc,default2018
2.0,32.42158085560229,54.8610972392441,87.63861328183161,flex,nc,default2018
3.0,38.244732264398905,62.040640459021844,89.51073461237011,flex,nc,default2018
4.0,41.63413715800107,67.5615347564128,90.26583352462578,flex,nc,default2018
5.0,45.6563474209081,71.6897058238154,90.39192404481936,flex,nc,default2018
6.0,49.13790464392752,74.59141826695125,90.52074259469055,flex,nc,default2018
7.0,51.525078224359184,76.16026006916684,90.83400076509157,flex,nc,default2018
8.0,55.426047238444134,78.29428123363472,90.84845999007712,flex,nc,default2018
9.0,56.86890634910057,79.46828472114397,90.90078861383432,flex,nc,default2018
10.0,58.46705427314287,81.10723336822898,90.90078861383432,flex,nc,default2018
