N,smina,gnina,best,annotation,prefix,model
1.0,11.877015462473944,29.031305074770263,58.21973135816147,max1,nc,default2018
2.0,20.63991776294903,41.605809393610556,67.9356016154158,max1,nc,default2018
3.0,25.9361637349786,48.64586708340858,71.61773861635322,max1,nc,default2018
4.0,29.15255853689017,52.56081402398419,73.61971480113934,max1,nc,default2018
5.0,32.26456404573991,55.541777561877666,74.42081130312103,max1,nc,default2018
6.0,35.69331743230033,58.672838831903604,74.70413324278974,max1,nc,default2018
7.0,37.990469835328426,60.41026298062477,75.50815726109947,max1,nc,default2018
8.0,41.420354508019535,62.03341401938304,75.78735175082028,max1,nc,default2018
9.0,42.95780512635592,63.36260633008816,75.78735175082028,max1,nc,default2018
10.0,44.68977289195495,65.25808737283637,75.93872820138142,max1,nc,default2018
