N,smina,gnina,best,annotation,prefix,model
1.0,23.02486751223879,40.036166459630635,80.3686300793527,flex,cluster,default2018
2.0,32.42158085560229,54.335542297708955,87.63861328183161,flex,cluster,default2018
3.0,38.244732264398905,61.715591592484635,89.51073461237011,flex,cluster,default2018
4.0,41.63413715800107,67.07866243616736,90.26583352462578,flex,cluster,default2018
5.0,45.6563474209081,71.3366422642725,90.39192404481936,flex,cluster,default2018
6.0,49.13790464392752,73.9352232454631,90.52074259469055,flex,cluster,default2018
7.0,51.525078224359184,75.73721473964329,90.83400076509157,flex,cluster,default2018
8.0,55.426047238444134,77.30365036333575,90.84845999007712,flex,cluster,default2018
9.0,56.86890634910057,78.87502067338771,90.90078861383432,flex,cluster,default2018
10.0,58.46705427314287,80.29474769686709,90.90078861383432,flex,cluster,default2018
