N,smina,gnina,best,annotation,prefix,model
1.0,23.02486751223879,42.49761923585041,80.3686300793527,flex,nc,dense
2.0,32.42158085560229,55.42950244710839,87.63861328183161,flex,nc,dense
3.0,38.244732264398905,63.24781269619865,89.51073461237011,flex,nc,dense
4.0,41.63413715800107,69.13971846175804,90.26583352462578,flex,nc,dense
5.0,45.6563474209081,72.20105331175499,90.39192404481936,flex,nc,dense
6.0,49.13790464392752,74.53428523044025,90.52074259469055,flex,nc,dense
7.0,51.525078224359184,76.65765542783282,90.83400076509157,flex,nc,dense
8.0,55.426047238444134,78.13623169526988,90.84845999007712,flex,nc,dense
9.0,56.86890634910057,79.66641857172307,90.90078861383432,flex,nc,dense
10.0,58.46705427314287,80.83183136451034,90.90078861383432,flex,nc,dense
