N,smina,gnina,best,annotation,prefix,model
1.0,11.877015462473944,25.689145940314585,58.21973135816147,max1,nc,dense
2.0,20.63991776294903,39.392172933834054,67.9356016154158,max1,nc,dense
3.0,25.9361637349786,47.42869180229907,71.61773861635322,max1,nc,dense
4.0,29.15255853689017,52.519817098466525,73.61971480113934,max1,nc,dense
5.0,32.26456404573991,56.73670209048369,74.42081130312103,max1,nc,dense
6.0,35.69331743230033,59.84006980605589,74.70413324278974,max1,nc,dense
7.0,37.990469835328426,62.27996354828335,75.50815726109947,max1,nc,dense
8.0,41.420354508019535,63.32568899000411,75.78735175082028,max1,nc,dense
9.0,42.95780512635592,64.42812571627948,75.78735175082028,max1,nc,dense
10.0,44.68977289195495,65.64344581573785,75.93872820138142,max1,nc,dense
