N,smina,gnina,best,annotation,prefix,model
1.0,23.02486751223879,39.36317044474241,80.3686300793527,flex,cluster,dense
2.0,32.42158085560229,54.0553973535032,87.63861328183161,flex,cluster,dense
3.0,38.244732264398905,63.28585258334489,89.51073461237011,flex,cluster,dense
4.0,41.63413715800107,67.53941345948495,90.26583352462578,flex,cluster,dense
5.0,45.6563474209081,71.34459967746669,90.39192404481936,flex,cluster,dense
6.0,49.13790464392752,74.45391456785144,90.52074259469055,flex,cluster,dense
7.0,51.525078224359184,76.1933770859163,90.83400076509157,flex,cluster,dense
8.0,55.426047238444134,79.14639942195548,90.84845999007712,flex,cluster,dense
9.0,56.86890634910057,80.1499606546844,90.90078861383432,flex,cluster,dense
10.0,58.46705427314287,81.10132060779486,90.90078861383432,flex,cluster,dense
