N,smina,gnina,best,annotation,prefix,model
1.0,11.877015462473944,25.14809178924701,58.21973135816147,max1,cluster,dense
2.0,20.63991776294903,38.62605040549534,67.9356016154158,max1,cluster,dense
3.0,25.9361637349786,44.83067619493116,71.61773861635322,max1,cluster,dense
4.0,29.15255853689017,49.64240156643913,73.61971480113934,max1,cluster,dense
5.0,32.26456404573991,52.43583019933083,74.42081130312103,max1,cluster,dense
6.0,35.69331743230033,55.011220893452,74.70413324278974,max1,cluster,dense
7.0,37.990469835328426,58.097084170773925,75.50815726109947,max1,cluster,dense
8.0,41.420354508019535,59.6180125168394,75.78735175082028,max1,cluster,dense
9.0,42.95780512635592,61.82125386591584,75.78735175082028,max1,cluster,dense
10.0,44.68977289195495,63.150185501643826,75.93872820138142,max1,cluster,dense
