N,smina,gnina,best,annotation,prefix,model
1.0,17.49331115163356,16.269859040840995,38.922678199602366,flex,nc,default2017
2.0,23.845843556192865,25.00960451959404,46.761413513218514,flex,nc,default2017
3.0,28.131396121088073,29.453219583563634,49.666924223650796,flex,nc,default2017
4.0,30.014945142093822,33.003749620789456,50.61454731040777,flex,nc,default2017
5.0,32.22067574059973,36.08250906078506,52.038616251800974,flex,nc,default2017
6.0,33.8770101735644,37.8607480457406,52.72711948733922,flex,nc,default2017
7.0,35.306105518048845,39.17177854142802,53.22505414160141,flex,nc,default2017
8.0,36.86425451082922,39.959511960862876,53.459819376366646,flex,nc,default2017
9.0,37.54172827636306,41.24299930693684,53.72015040592846,flex,nc,default2017
10.0,38.5720368618253,42.118304913458985,53.85439116516922,flex,nc,default2017
