N,smina,gnina,best,annotation,prefix,model
1.0,17.49331115163356,14.95491131783235,38.922678199602366,flex,cluster,default2017
2.0,23.845843556192865,22.942465557019343,46.761413513218514,flex,cluster,default2017
3.0,28.131396121088073,26.20019119243323,49.666924223650796,flex,cluster,default2017
4.0,30.014945142093822,29.8354684927631,50.61454731040777,flex,cluster,default2017
5.0,32.22067574059973,32.17514165159888,52.038616251800974,flex,cluster,default2017
6.0,33.8770101735644,34.97972520440284,52.72711948733922,flex,cluster,default2017
7.0,35.306105518048845,36.19339706980069,53.22505414160141,flex,cluster,default2017
8.0,36.86425451082922,37.93371221775195,53.459819376366646,flex,cluster,default2017
9.0,37.54172827636306,38.91929257009413,53.72015040592846,flex,cluster,default2017
10.0,38.5720368618253,40.137354123222984,53.85439116516922,flex,cluster,default2017
