N,smina,gnina,best,annotation,prefix,model
1.0,20.513314885007393,21.78062728765237,46.061976009801405,max2,nc,default2018
2.0,28.290290301649105,31.159442509605515,54.3604274825525,max2,nc,default2018
3.0,32.772976730839844,36.96699740117307,57.81384501579108,max2,nc,default2018
4.0,34.96280801627795,40.945767081320255,59.57647818822659,max2,nc,default2018
5.0,37.4469029240823,43.88403810318758,60.68321971007957,max2,nc,default2018
6.0,39.29941823273165,46.2479039987829,61.301347887105265,max2,nc,default2018
7.0,40.59398645644957,47.96355148312722,61.42622301198038,max2,nc,default2018
8.0,42.25404745487511,49.51927319630656,61.63078035939488,max2,nc,default2018
9.0,42.971103274418965,50.953469904684894,61.796487667959326,max2,nc,default2018
10.0,44.181976682962926,51.477473104909905,61.89638776785943,max2,nc,default2018
