N,smina,gnina,best,annotation,prefix,model
1.0,5.8437212582935665,4.827666967851805,13.001666075078827,max1,cluster,default2018
2.0,8.562613749215439,7.911566426697689,16.41535705568561,max1,cluster,default2018
3.0,10.520724091537918,9.962012128680003,18.596032722631993,max1,cluster,default2018
4.0,11.053228222763384,11.43146023037672,19.374668149814188,max1,cluster,default2018
5.0,12.0580206192142,12.198428520798645,20.535568580656253,max1,cluster,default2018
6.0,12.93940536032568,13.402584804573484,20.933180415515057,max1,cluster,default2018
7.0,13.406008001878417,14.011429734063245,21.75039896048972,max1,cluster,default2018
8.0,13.995931721888702,14.90502105454412,22.04334675343751,max1,cluster,default2018
9.0,14.303508596572083,15.489758816243263,22.162394372485128,max1,cluster,default2018
10.0,14.572434613662118,16.05715294466441,22.195694405785165,max1,cluster,default2018
