N,smina,gnina,best,annotation,prefix,model
1.0,20.513314885007393,19.2817404721802,46.061976009801405,max2,nc,dense
2.0,28.290290301649105,29.687517245919267,54.3604274825525,max2,nc,dense
3.0,32.772976730839844,34.14851604714411,57.81384501579108,max2,nc,dense
4.0,34.96280801627795,37.250766297107184,59.57647818822659,max2,nc,dense
5.0,37.4469029240823,40.70128780677305,60.68321971007957,max2,nc,dense
6.0,39.29941823273165,42.85065310921082,61.301347887105265,max2,nc,dense
7.0,40.59398645644957,44.38388989174428,61.42622301198038,max2,nc,dense
8.0,42.25404745487511,45.76900804015627,61.63078035939488,max2,nc,dense
9.0,42.971103274418965,47.1016586601397,61.796487667959326,max2,nc,dense
10.0,44.181976682962926,48.52310624053085,61.89638776785943,max2,nc,dense
