N,smina,gnina,best,annotation,prefix,model
1.0,17.49331115163356,14.764877067334128,38.922678199602366,flex,cluster,dense
2.0,23.845843556192865,22.07575123563742,46.761413513218514,flex,cluster,dense
3.0,28.131396121088073,26.836483296006808,49.666924223650796,flex,cluster,dense
4.0,30.014945142093822,30.463712408624627,50.61454731040777,flex,cluster,dense
5.0,32.22067574059973,32.55245459486426,52.038616251800974,flex,cluster,dense
6.0,33.8770101735644,34.98445858679913,52.72711948733922,flex,cluster,dense
7.0,35.306105518048845,36.81206717725353,53.22505414160141,flex,cluster,dense
8.0,36.86425451082922,38.75383920985738,53.459819376366646,flex,cluster,dense
9.0,37.54172827636306,39.62092129801143,53.72015040592846,flex,cluster,dense
10.0,38.5720368618253,40.99993850977821,53.85439116516922,flex,cluster,dense
