N,smina,gnina,best,annotation,prefix,model
1.0,5.8437212582935665,4.588784659040956,13.001666075078827,max1,cluster,dense
2.0,8.562613749215439,7.425998868945929,16.41535705568561,max1,cluster,dense
3.0,10.520724091537918,9.093848188166406,18.596032722631993,max1,cluster,dense
4.0,11.053228222763384,10.160219419973968,19.374668149814188,max1,cluster,dense
5.0,12.0580206192142,10.985592830722135,20.535568580656253,max1,cluster,dense
6.0,12.93940536032568,11.759592077636663,20.933180415515057,max1,cluster,dense
7.0,13.406008001878417,13.08233428271876,21.75039896048972,max1,cluster,dense
8.0,13.995931721888702,13.731058940559999,22.04334675343751,max1,cluster,dense
9.0,14.303508596572083,14.24582036894582,22.162394372485128,max1,cluster,dense
10.0,14.572434613662118,15.243957895310812,22.195694405785165,max1,cluster,dense
