N,smina,gnina,best,annotation,prefix,model,crystal
1,31.48793,47.38900,92.92181,ligand,cluster,default2017,yes
2,40.78732,59.29188,92.92181,ligand,cluster,default2017,yes
3,46.80599,66.75717,92.92181,ligand,cluster,default2017,yes
4,49.82605,72.37928,92.92181,ligand,cluster,default2017,yes
5,53.94295,75.14274,92.92181,ligand,cluster,default2017,yes
6,56.81612,77.78433,92.92181,ligand,cluster,default2017,yes
7,58.72426,79.97552,92.92181,ligand,cluster,default2017,yes
8,62.03559,81.74279,92.92181,ligand,cluster,default2017,yes
9,63.63130,83.14012,92.92181,ligand,cluster,default2017,yes
10,65.13145,83.97944,92.92181,ligand,cluster,default2017,yes
1,28.21962,29.10310,74.84106,ligand,cluster,default2017,no
2,36.80285,38.87800,74.84106,ligand,cluster,default2017,no
3,42.35087,44.47465,74.84106,ligand,cluster,default2017,no
4,45.04721,49.38222,74.84106,ligand,cluster,default2017,no
5,48.10555,52.44402,74.84106,ligand,cluster,default2017,no
6,50.27839,54.94594,74.84106,ligand,cluster,default2017,no
7,51.83849,57.20281,74.84106,ligand,cluster,default2017,no
8,53.41623,59.56585,74.84106,ligand,cluster,default2017,no
9,54.56853,60.59374,74.84106,ligand,cluster,default2017,no
10,55.82544,61.64973,74.84106,ligand,cluster,default2017,no
1,21.14338,29.18585,64.24360,flex1,cluster,default2017,yes
2,29.26588,39.86226,71.66210,flex1,cluster,default2017,yes
3,33.91165,48.02303,73.73965,flex1,cluster,default2017,yes
4,37.02905,52.59930,75.34277,flex1,cluster,default2017,yes
5,40.55304,56.14269,75.72440,flex1,cluster,default2017,yes
6,43.15086,58.77073,75.88033,flex1,cluster,default2017,yes
7,44.90208,60.19141,76.06778,flex1,cluster,default2017,yes
8,47.99510,62.01567,76.21662,flex1,cluster,default2017,yes
9,49.32074,63.71860,76.32773,flex1,cluster,default2017,yes
10,50.86082,65.42498,76.32773,flex1,cluster,default2017,yes
1,17.32831,14.59349,36.88306,flex1,cluster,default2017,no
2,23.24843,21.65595,44.28780,flex1,cluster,default2017,no
3,27.26343,26.25180,47.22227,flex1,cluster,default2017,no
4,29.33745,29.98243,48.32520,flex1,cluster,default2017,no
5,31.51832,32.56515,49.52989,flex1,cluster,default2017,no
6,33.26927,34.45140,50.14991,flex1,cluster,default2017,no
7,34.52848,35.66546,50.32460,flex1,cluster,default2017,no
8,35.98040,37.06836,50.63324,flex1,cluster,default2017,no
9,36.66667,38.42668,50.89678,flex1,cluster,default2017,no
10,37.71125,39.25428,50.93262,flex1,cluster,default2017,no
1,30.03667,43.02388,85.43267,flex2,cluster,default2017,yes
2,39.28667,55.53118,87.81154,flex2,cluster,default2017,yes
3,45.09503,65.02997,88.30955,flex2,cluster,default2017,yes
4,48.06662,69.67564,88.67210,flex2,cluster,default2017,yes
5,51.64229,73.23327,88.73999,flex2,cluster,default2017,yes
6,54.39414,75.99087,88.73999,flex2,cluster,default2017,yes
7,56.17251,77.52375,88.77329,flex2,cluster,default2017,yes
8,59.45817,78.93396,88.77329,flex2,cluster,default2017,yes
9,60.91938,80.42494,88.77329,flex2,cluster,default2017,yes
10,62.55753,81.34277,88.77329,flex2,cluster,default2017,yes
1,26.68403,25.91608,65.73948,flex2,cluster,default2017,no
2,35.23932,35.93118,70.34553,flex2,cluster,default2017,no
3,40.52926,41.83933,71.11288,flex2,cluster,default2017,no
4,43.20694,46.64979,71.35474,flex2,cluster,default2017,no
5,45.76513,50.13638,71.59192,flex2,cluster,default2017,no
6,47.84652,53.38689,71.59192,flex2,cluster,default2017,no
7,49.24759,54.74768,71.59192,flex2,cluster,default2017,no
8,50.88482,56.36798,71.59192,flex2,cluster,default2017,no
9,51.92249,58.12838,71.59192,flex2,cluster,default2017,no
10,53.22866,58.97980,71.59192,flex2,cluster,default2017,no
1,25.28999,35.85396,71.78876,max2,cluster,default2017,yes
2,33.99223,49.09137,78.83856,max2,cluster,default2017,yes
3,39.34342,56.31625,80.56808,max2,cluster,default2017,yes
4,42.51585,60.88149,81.59416,max2,cluster,default2017,yes
5,46.36282,63.46383,81.92906,max2,cluster,default2017,yes
6,49.01486,65.72519,82.06879,max2,cluster,default2017,yes
7,50.98445,67.25015,82.18752,max2,cluster,default2017,yes
8,54.35719,68.61233,82.30656,max2,cluster,default2017,yes
9,55.59672,70.51723,82.48381,max2,cluster,default2017,yes
10,57.16049,71.78362,82.56318,max2,cluster,default2017,yes
1,21.41807,19.66791,46.04454,max2,cluster,default2017,no
2,28.85332,27.83464,54.96853,max2,cluster,default2017,no
3,33.61546,33.12576,57.73957,max2,cluster,default2017,no
4,35.92618,36.63705,58.98478,max2,cluster,default2017,no
5,38.45292,39.14261,60.34300,max2,cluster,default2017,no
6,40.63230,41.18851,61.23787,max2,cluster,default2017,no
7,42.09008,42.61287,61.36413,max2,cluster,default2017,no
8,43.57009,44.12936,61.57577,max2,cluster,default2017,no
9,44.35772,45.50710,61.63750,max2,cluster,default2017,no
10,45.57105,47.22403,61.63750,max2,cluster,default2017,no
1,31.48793,49.36414,92.92181,ligand,nc,default2017,yes
2,40.78732,62.76014,92.92181,ligand,nc,default2017,yes
3,46.80599,70.08585,92.92181,ligand,nc,default2017,yes
4,49.82605,75.59710,92.92181,ligand,nc,default2017,yes
5,53.94295,78.52688,92.92181,ligand,nc,default2017,yes
6,56.81612,80.89617,92.92181,ligand,nc,default2017,yes
7,58.72426,82.69382,92.92181,ligand,nc,default2017,yes
8,62.03559,84.09529,92.92181,ligand,nc,default2017,yes
9,63.63130,85.35123,92.92181,ligand,nc,default2017,yes
10,65.13145,86.53394,92.92181,ligand,nc,default2017,yes
1,28.21962,31.68995,74.84106,ligand,nc,default2017,no
2,36.80285,42.73794,74.84106,ligand,nc,default2017,no
3,42.35087,48.98457,74.84106,ligand,nc,default2017,no
4,45.04721,53.45053,74.84106,ligand,nc,default2017,no
5,48.10555,56.12135,74.84106,ligand,nc,default2017,no
6,50.27839,58.55793,74.84106,ligand,nc,default2017,no
7,51.83849,60.70892,74.84106,ligand,nc,default2017,no
8,53.41623,62.26415,74.84106,ligand,nc,default2017,no
9,54.56853,63.12222,74.84106,ligand,nc,default2017,no
