N,smina,gnina,best
1.0,28.201176566398676,39.24858530071966,74.79001756068948
2.0,36.78287727042567,49.85074551261929,74.79001756068948
3.0,42.380985159676655,55.14134797036556,74.79001756068948
4.0,45.07630407695096,59.3428327689115,74.79001756068948
5.0,48.09237926520522,62.68539006282795,74.79001756068948
6.0,50.264706619458224,64.6705270127367,74.79001756068948
7.0,51.823790236246886,66.06396636503044,74.79001756068948
8.0,53.401534232407826,67.08282331835676,74.79001756068948
9.0,54.55383462676784,68.4535831549643,74.79001756068948
10.0,55.81074577562224,69.23218358213536,74.79001756068948
