N,smina,gnina,best,annotation,prefix,model,crystal
1,38.65270,45.19668,91.83104,ligand,cluster,default2017,yes
2,46.66651,59.53669,91.83104,ligand,cluster,default2017,yes
3,52.38162,67.03188,91.83104,ligand,cluster,default2017,yes
4,56.49391,72.17207,91.83104,ligand,cluster,default2017,yes
5,59.45798,76.94714,91.83104,ligand,cluster,default2017,yes
6,61.86724,78.68409,91.83104,ligand,cluster,default2017,yes
7,63.37603,80.31067,91.83104,ligand,cluster,default2017,yes
8,65.79533,81.84081,91.83104,ligand,cluster,default2017,yes
9,67.10709,83.02363,91.83104,ligand,cluster,default2017,yes
10,68.10934,84.48315,91.83104,ligand,cluster,default2017,yes
1,34.42583,32.45698,76.40968,ligand,cluster,default2017,no
2,41.73833,43.57240,76.40968,ligand,cluster,default2017,no
3,46.83477,49.52940,76.40968,ligand,cluster,default2017,no
4,50.04320,54.57362,76.40968,ligand,cluster,default2017,no
5,52.41368,58.50141,76.40968,ligand,cluster,default2017,no
6,54.19685,61.56850,76.40968,ligand,cluster,default2017,no
7,55.58068,63.45985,76.40968,ligand,cluster,default2017,no
8,57.07501,65.50199,76.40968,ligand,cluster,default2017,no
9,58.18544,66.93582,76.40968,ligand,cluster,default2017,no
10,59.26263,67.79904,76.40968,ligand,cluster,default2017,no
1,38.65270,50.23808,91.83104,ligand,nc,default2017,yes
2,46.66651,63.34005,91.83104,ligand,nc,default2017,yes
3,52.38162,69.71513,91.83104,ligand,nc,default2017,yes
4,56.49391,73.86133,91.83104,ligand,nc,default2017,yes
5,59.45798,76.66650,91.83104,ligand,nc,default2017,yes
6,61.86724,78.68860,91.83104,ligand,nc,default2017,yes
7,63.37603,80.29470,91.83104,ligand,nc,default2017,yes
8,65.79533,82.14887,91.83104,ligand,nc,default2017,yes
9,67.10709,83.49856,91.83104,ligand,nc,default2017,yes
10,68.10934,84.17963,91.83104,ligand,nc,default2017,yes
1,34.42583,34.20366,76.40968,ligand,nc,default2017,no
2,41.73833,45.28599,76.40968,ligand,nc,default2017,no
3,46.83477,51.26944,76.40968,ligand,nc,default2017,no
4,50.04320,56.30421,76.40968,ligand,nc,default2017,no
5,52.41368,59.83579,76.40968,ligand,nc,default2017,no
6,54.19685,62.17681,76.40968,ligand,nc,default2017,no
7,55.58068,64.12090,76.40968,ligand,nc,default2017,no
8,57.07501,65.63982,76.40968,ligand,nc,default2017,no
9,58.18544,66.68261,76.40968,ligand,nc,default2017,no
10,59.26263,67.94989,76.40968,ligand,nc,default2017,no
1,38.65270,47.66394,91.83104,ligand,cluster,default2018,yes
2,46.66651,61.92938,91.83104,ligand,cluster,default2018,yes
3,52.38162,68.48071,91.83104,ligand,cluster,default2018,yes
4,56.49391,72.36722,91.83104,ligand,cluster,default2018,yes
5,59.45798,75.94970,91.83104,ligand,cluster,default2018,yes
6,61.86724,78.89481,91.83104,ligand,cluster,default2018,yes
7,63.37603,80.41582,91.83104,ligand,cluster,default2018,yes
8,65.79533,81.91247,91.83104,ligand,cluster,default2018,yes
9,67.10709,82.78514,91.83104,ligand,cluster,default2018,yes
10,68.10934,83.40266,91.83104,ligand,cluster,default2018,yes
1,34.42583,33.12813,76.40968,ligand,cluster,default2018,no
2,41.73833,45.37620,76.40968,ligand,cluster,default2018,no
3,46.83477,51.22816,76.40968,ligand,cluster,default2018,no
4,50.04320,56.18583,76.40968,ligand,cluster,default2018,no
5,52.41368,58.57468,76.40968,ligand,cluster,default2018,no
6,54.19685,61.08652,76.40968,ligand,cluster,default2018,no
7,55.58068,62.88487,76.40968,ligand,cluster,default2018,no
8,57.07501,64.46128,76.40968,ligand,cluster,default2018,no
9,58.18544,65.88422,76.40968,ligand,cluster,default2018,no
10,59.26263,66.92579,76.40968,ligand,cluster,default2018,no
1,38.65270,52.36014,91.83104,ligand,nc,default2018,yes
2,46.66651,65.95138,91.83104,ligand,nc,default2018,yes
3,52.38162,72.72961,91.83104,ligand,nc,default2018,yes
4,56.49391,76.43340,91.83104,ligand,nc,default2018,yes
5,59.45798,78.75616,91.83104,ligand,nc,default2018,yes
6,61.86724,80.28602,91.83104,ligand,nc,default2018,yes
7,63.37603,81.78328,91.83104,ligand,nc,default2018,yes
8,65.79533,83.50700,91.83104,ligand,nc,default2018,yes
9,67.10709,84.69609,91.83104,ligand,nc,default2018,yes
10,68.10934,85.73438,91.83104,ligand,nc,default2018,yes
1,34.42583,37.30637,76.40968,ligand,nc,default2018,no
2,41.73833,49.01068,76.40968,ligand,nc,default2018,no
3,46.83477,55.76912,76.40968,ligand,nc,default2018,no
4,50.04320,59.57530,76.40968,ligand,nc,default2018,no
5,52.41368,62.14715,76.40968,ligand,nc,default2018,no
6,54.19685,63.92424,76.40968,ligand,nc,default2018,no
7,55.58068,65.91172,76.40968,ligand,nc,default2018,no
8,57.07501,67.32690,76.40968,ligand,nc,default2018,no
9,58.18544,68.54353,76.40968,ligand,nc,default2018,no
10,59.26263,69.57956,76.40968,ligand,nc,default2018,no
1,38.65270,49.63193,91.83104,ligand,cluster,dense,yes
2,46.66651,62.20941,91.83104,ligand,cluster,dense,yes
3,52.38162,67.79789,91.83104,ligand,cluster,dense,yes
4,56.49391,72.07936,91.83104,ligand,cluster,dense,yes
5,59.45798,75.14495,91.83104,ligand,cluster,dense,yes
6,61.86724,77.34707,91.83104,ligand,cluster,dense,yes
7,63.37603,79.30778,91.83104,ligand,cluster,dense,yes
8,65.79533,80.43659,91.83104,ligand,cluster,dense,yes
9,67.10709,81.14145,91.83104,ligand,cluster,dense,yes
10,68.10934,82.34080,91.83104,ligand,cluster,dense,yes
1,34.42583,33.73848,76.40968,ligand,cluster,dense,no
2,41.73833,45.09989,76.40968,ligand,cluster,dense,no
3,46.83477,50.92387,76.40968,ligand,cluster,dense,no
4,50.04320,55.28231,76.40968,ligand,cluster,dense,no
5,52.41368,58.04063,76.40968,ligand,cluster,dense,no
6,54.19685,61.34374,76.40968,ligand,cluster,dense,no
7,55.58068,63.17355,76.40968,ligand,cluster,dense,no
8,57.07501,64.26601,76.40968,ligand,cluster,dense,no
9,58.18544,65.50892,76.40968,ligand,cluster,dense,no
10,59.26263,66.79991,76.40968,ligand,cluster,dense,no
1,38.65270,50.91598,91.83104,ligand,nc,dense,yes
2,46.66651,65.20835,91.83104,ligand,nc,dense,yes
3,52.38162,72.00587,91.83104,ligand,nc,dense,yes
4,56.49391,76.62641,91.83104,ligand,nc,dense,yes
5,59.45798,79.74056,91.83104,ligand,nc,dense,yes
6,61.86724,80.90390,91.83104,ligand,nc,dense,yes
7,63.37603,82.99801,91.83104,ligand,nc,dense,yes
8,65.79533,84.36117,91.83104,ligand,nc,dense,yes
9,67.10709,85.13483,91.83104,ligand,nc,dense,yes
10,68.10934,86.03060,91.83104,ligand,nc,dense,yes
1,34.42583,35.04173,76.40968,ligand,nc,dense,no
2,41.73833,46.66889,76.40968,ligand,nc,dense,no
3,46.83477,53.76413,76.40968,ligand,nc,dense,no
4,50.04320,58.85211,76.40968,ligand,nc,dense,no
5,52.41368,62.42162,76.40968,ligand,nc,dense,no
6,54.19685,64.15276,76.40968,ligand,nc,dense,no
7,55.58068,66.26334,76.40968,ligand,nc,dense,no
8,57.07501,68.06761,76.40968,ligand,nc,dense,no
9,58.18544,68.79833,76.40968,ligand,nc,dense,no
10,59.26263,69.79889,76.40968,ligand,nc,dense,no
