pdb,fold
2gj6,0
3vrj,0
3upr,0
3vri,0
5u98,0
4wzc,0
1yfy,0
4hsl,0
1yfw,0
4hsj,0
4i3p,0
4hvr,0
1pvs,0
3cwa,0
5ily,0
5ilj,0
3m02,0
3m00,0
5ikh,0
5ik9,0
3m01,0
3lz9,0
5ili,0
5dhk,0
4rnq,0
5ik6,0
1hxa,0
5eat,0
5ik0,0
4di5,0
5eau,0
5il8,0
5ilz,0
1hx9,0
5ika,0
1hxc,0
4h1y,0
4h2b,0
4h2i,0
4h2f,0
4rw3,0
4rw5,0
5n2s,0
2x1e,0
4h2x,0
4h2t,0
3mf1,0
4h2s,0
3mf2,0
4h2y,0
4h2v,0
3mey,0
4h2u,0
3pzc,0
4h2w,0
4yef,0
4cfe,0
4qfr,1
5t5t,1
5kq5,1
5ufu,1
2ok6,1
2agw,1
2iuq,1
2hj4,1
2hxc,1
2hjb,1
2q7q,1
4ayt,0
1lrh,0
5kkn,0
3gid,0
3rv3,0
3g8c,0
4mv6,0
4mv7,0
4rzq,0
4b82,0
2jgj,0
1j06,0
2jgi,0
5dtj,0
2jez,0
2jey,0
5ov9,0
5eih,0
5eie,0
1maa,0
2xud,0
2jgf,0
2jgl,0
4btl,0
5ehq,0
4b83,0
4b80,0
2jf0,0
2gyv,0
2wu4,0
2gyw,0
1n5r,0
2ha6,0
1j07,0
2whp,0
3zlv,0
2ha3,0
4a23,0
4ara,0
5fum,0
2ha4,0
2xuj,0
1q83,0
2whr,0
2ha5,0
4b84,0
5ehz,0
5foq,0
2y2v,0
4b7z,0
2h9y,0
4b81,0
2xuf,0
1q84,0
4b85,0
2ha7,0
1n5m,0
2wls,0
4a16,0
5fkj,0
4arb,0
3zlu,0
2wu3,0
2gyu,0
2jge,0
2whq,0
4o79,0
5fjv,0
3h7q,0
4dx5,2
5jmn,2
5nc5,2
2ogy,0
4djf,0
2rhr,0
2rhc,0
1xr3,0
1nlv,0
2a5x,0
4pkh,0
2hf3,0
4efh,0
2q31,0
1d4x,0
1hlu,0
4b1y,0
2fxu,0
2asm,0
1j6z,0
3m6g,0
1wua,0
1qz5,0
3eku,0
2asp,0
1s22,0
2aso,0
4k43,0
2hmp,0
1qz6,0
1yxq,0
4k42,0
1o72,0
4tsq,0
4tsp,0
4tso,0
4tsy,0
4tsn,0
3lim,0
3lgg,0
1r55,0
5adz,0
4bc7,0
4bby,0
5ae1,0
5ae3,0
5ae2,0
4bca,0
1ndw,0
1krm,0
1o5r,0
1ndz,0
2e1w,0
1v7a,0
1v79,0
1qxl,0
1ndv,0
1wxy,0
2z7g,0
3iar,0
1ndy,0
1wxz,0
1uml,0
3km8,0
1add,0
1fkx,0
1a4m,0
2ada,0
1uio,0
1fkw,0
1uip,0
1a4l,0
2gvd,0
1cs4,0
2gvz,0
1cul,0
1u0h,0
3maa,0
1cjk,0
3g82,0
3c16,0
1cjt,0
1ab8,0
4clz,0
3pao,0
3pan,0
3pbm,0
1hso,0
1u3t,0
1axe,0
1hld,0
5vkr,0
5kjc,0
4nfs,0
3oq6,0
4ng5,0
5vl0,0
1p1r,0
5vn1,0
1ldy,0
1hf3,0
1qv6,0
3bto,0
4xd2,0
1lde,0
1qv7,0
1mg0,0
1adf,0
4dxh,0
1a72,0
1adc,0
5vj5,0
1adb,0
5vjg,0
2jhg,0
1adg,0
1qlh,0
1a71,0
2ohx,0
5kcz,0
1axg,0
4dwv,0
5kjf,0
1ju9,0
5kcp,0
1mgo,0
1u3w,0
2y02,0
2ycz,0
4ami,0
4amj,0
2y00,0
3zpq,0
2vt4,0
4bvn,0
2y04,0
3zpr,0
2ycw,0
5a8e,0
2y03,0
1uhk,0
1ej3,0
1uhj,0
1uhh,0
3hrq,0
5kbz,0
3hrr,0
3s5z,0
3lxa,0
3gxt,0
4nxs,0
3s5y,0
3tv8,0
5m16,0
5m12,0
2dkd,0
2dkc,0
1xqp,0
3dha,0
5eh9,0
3dhc,0
2br6,0
4j5h,0
2cfi,0
4zul,0
5osw,0
4luf,0
5v0v,0
5dqf,0
4zbr,0
4ot2,0
4j2v,0
5id9,0
1e7f,2
1e7e,2
1tf0,2
2vdb,2
6ezq,2
5id7,2
1gnj,2
1ha2,2
1hk5,2
1h9z,2
2bxe,2
1e7b,2
1e7c,2
4z69,2
3lu6,2
1e7h,2
1gni,2
2bxg,2
3tdl,2
4e99,2
2bxn,2
2xw0,2
1e7i,2
2bxk,2
3lu7,2
2bxp,2
1n5u,2
4f5v,0
4po0,0
2opx,0
3inj,0
3inl,0
1nzz,0
1nzw,0
4fr8,0
1o04,0
4kwf,0
2vle,0
3n83,0
4fqf,0
3n82,0
5l13,0
4kwg,0
1a4z,0
1cw3,0
1o02,0
1w8s,0
1bd0,0
1ftx,0
1xqk,0
1epv,0
1xql,0
1l6f,0
1l6g,0
5faj,0
3ctl,0
2bml,0
1hcx,0
4x36,0
4iwt,0
4zw3,0
4zw5,0
4r5t,0
4k5l,0
4zx3,0
4k5m,0
4k5o,0
3q43,0
4zw7,0
4zx4,0
3q44,0
4k5n,0
4r5x,0
4zw6,0
4x2u,0
4zqt,0
3t8v,0
4zx5,0
4k5p,0
4r5v,0
3ebh,0
3ebi,0
4zw8,0
4zx6,0
4zla,0
3h8g,0
2y2b,0
4kxb,0
1lcp,0
2ewb,0
5mft,0
4xn5,0
3ked,0
4xmz,0
4xn7,0
4xmt,0
5mfs,0
2hpt,0
4xmx,0
2zxg,0
4xnb,0
4xnd,0
5mfr,0
4q4e,0
4xna,0
3b2x,0
4xn9,0
3b34,0
3b3b,0
4xo3,0
4xn8,0
4fyr,0
4fkk,0
1wl6,0
2bww,0
2bhb,0
1wlr,0
2qpu,0
1jg9,0
3ueq,0
1jgi,0
4fls,0
2pit,0
2ylo,0
2ylq,0
2ylp,0
2pip,0
4hlw,0
2pix,0
3zqt,0
2pio,0
2ax9,0
1gs4,0
3rll,0
1xnn,0
3v49,0
3b66,0
2oz7,0
2ax8,0
2ax7,0
1i38,0
3b67,0
5t8j,0
1xow,0
5cj6,0
5v8q,0
3b65,0
4oha,0
2pnu,0
3rlj,0
4ql8,0
2q7k,0
2amb,0
2nw4,0
3b68,0
4ojb,0
2axa,0
2ihq,0
2hvc,0
3g0w,0
5t8e,0
3b5r,0
3v4a,0
4bes,0
4bet,0
4ber,0
1hak,0
4cq7,0
4cq6,0
2dio,0
2fg6,0
2g7m,0
4zuq,0
3q9b,0
4zun,0
4zup,0
3q9c,0
4zum,0
4zur,0
4zuo,0
3q9e,0
4bvc,0
4bvd,0
3kiv,0
4bv7,0
4bv5,0
2vcf,0
1v0h,0
1oaf,0
4f2d,0
4r1q,0
1gzf,0
2c8c,0
2c8h,0
2c8f,0
2a9k,0
2c8a,0
4hnx,2
4xnh,2
4hnw,2
1s9d,0
1e0s,0
3n5c,0
2j5x,0
2w83,0
3pcr,0
1oh9,0
1ohb,0
1oha,0
2wxb,0
1gs5,0
2x2w,0
1gsj,0
4kvw,0
4kux,0
5ivg,0
4kvd,0
3bnx,0
3bny,0
4kwd,0
3cke,0
4kvi,0
4kvy,0
5imp,0
5j63,0
2bln,0
2gga,0
2ggd,0
2pqb,0
2pqd,0
2pqc,0
2gg6,0
4egr,0
3slh,0
1x8r,0
1g6s,0
3fjz,0
2pq9,0
3fk0,0
1x8t,0
2aay,0
2qfs,0
2aa9,0
1mi4,0
1q36,0
2o0b,0
2o0e,0
2o0x,0
2o0z,0
3nvs,0
4cnp,0
1l9w,0
4cno,0
3s42,0
4gui,0
4iuo,0
3nnt,0
4guj,0
2hk9,0
3jyq,0
3jyp,0
3phh,0
4fq8,0
4fr5,0
3phj,0
4fos,0
3tnl,0
3doo,0
2d5c,0
3pgj,0
1rzm,0
5gmu,0
3pfp,0
2b7o,0
1zui,0
3muf,0
3n2e,0
2iyy,0
2iyz,0
1we2,0
4bqs,0
3baf,0
2iyq,0
2iyx,0
1zyu,0
2iyw,0
2dft,0
2iyv,0
5ydb,0
2xb9,0
2c4w,0
2xda,0
2wks,0
4b6s,0
1j2y,0
2c57,0
2xd9,0
4kij,0
4v0s,0
2y71,0
4ciy,0
3n8k,0
3n86,0
4b6o,0
3n76,0
2y77,0
4ciw,0
3n87,0
4b6q,0
4kiw,0
4kiu,0
2xb8,0
4ki7,0
2y76,0
4cix,0
3n59,0
3n7a,0
1h0s,0
3n8n,0
4civ,0
4cl0,0
4cky,0
1gu1,0
2cjf,0
2bt4,0
1v1j,0
1gtz,0
4cys,0
4cxs,0
4cxu,0
5daq,0
5dav,0
5daw,0
5dax,0
4p06,0
3ets,0
4p05,0
3ett,0
4hyt,2
4res,0
3nan,0
3nam,0
4j2t,0
2agv,0
3fps,0
2o9j,0
2eau,0
3ar7,0
1xp5,0
3nal,0
4ycn,0
2by4,0
4ycm,0
4uu1,0
2eat,0
3fgo,0
3w5c,0
4a7z,0
4a7y,0
5irw,0
5chk,0
5iru,0
5hlm,0
3vgw,0
1lel,0
3fdc,0
1ldq,0
1ij8,0
2avi,0
2a5c,0
4jhq,0
3vhi,0
3vhh,0
2a5b,0
5lur,0
4i60,0
3vhm,0
2a8g,0
1ldo,0
2ofb,0
2fhl,0
2of8,0
1y55,0
3lt5,0
2v9c,0
3keg,0
4n9q,0
3r6w,0
4n65,0
4c0x,0
4c0w,0
4c14,0
2z9c,0
2agd,0
2ah9,0
1nwg,0
1o23,0
1nkh,0
4ee4,0
1oqm,0
4pxk,0
5aqk,1
5mgm,0
5mgj,0
5mgk,0
5or8,0
5mgl,0
5l8u,0
5cu8,0
4nr9,0
5l97,0
4cuu,0
5or9,0
4rvr,0
5e9k,0
5cq3,0
5dyu,0
5mge,0
4cup,0
5cua,0
5e9m,0
5mgg,0
4cuq,0
5l99,0
4ir6,0
4ir5,0
5cud,0
5e9l,0
5cue,0
5cug,0
4xua,0
5cuc,0
4nrc,0
4cur,0
5l96,0
5cq4,0
5l98,0
5cub,0
5e9i,0
5orb,0
5cq7,0
5cq8,0
4cut,0
4nra,0
5e74,0
4ir4,0
5mgf,0
3q2f,0
4ir3,0
5l8t,0
4xub,0
4nrb,0
4cus,0
5e73,0
5dyx,0
2coj,0
2abj,0
2cog,0
1kta,0
5i5x,0
1kt8,0
5n16,0
5n17,0
5n18,0
1zi5,0
5bxc,0
4y64,0
4y62,0
4kc2,0
4kc1,0
4kc4,0
4y63,0
2rj7,0
5c1g,0
5c3d,0
5c3a,0
5c38,0
3v0n,0
3v0o,0
3v0m,0
5c1l,0
1zi3,0
1zj1,0
2rj4,0
5c4e,0
1zj3,0
1zi4,0
5tjn,0
1zj2,0
1r81,0
1zjp,0
1zjo,0
3u0x,0
3v0l,0
5tjk,0
3ioi,0
2rj1,0
3zgg,0
1r82,0
2a8u,0
2riy,0
3i0k,0
1wt3,0
4c2s,0
2rj6,0
1lzj,0
1lzi,0
3v0q,0
3zgf,0
2rj5,0
2rj0,0
2o1h,0
3sco,0
3scq,0
3scs,0
4qlk,0
3f5j,0
4qll,0
4qlj,0
3f5l,0
3f5k,0
3scu,0
3sct,0
3scw,0
1lt8,0
4m3p,0
1dj9,0
4fh2,0
3mke,0
1tdg,0
2h0t,0
4fcf,0
1vm1,0
5hh6,0
5hh5,0
2gfk,0
2hb9,0
5evd,0
2aio,0
2fu8,0
5evb,0
5dpx,0
2qdt,0
2fu9,0
5evk,0
2gfj,0
4c1c,0
4nq6,0
5fqb,0
4c1h,0
4tyt,0
5jmx,0
4nq5,0
1a8t,0
1hlk,0
5hh4,0
5ev8,0
1jje,0
4c1f,0
1dd6,0
3wxc,0
2doo,0
4c1g,0
1jjt,0
5ewa,0
2y91,0
1w7f,0
3sh8,0
5ghz,0
3m2j,0
3b3x,0
3sh7,0
4qhc,0
4x6t,0
4qb8,0
3ny4,0
4eyf,0
3q6x,0
4raw,0
4exs,0
4eyl,0
5a5z,0
4ey2,0
4u4l,0
4hky,0
4eyb,0
4rl2,0
4ram,0
6ex7,0
4rl0,0
5k4k,0
1nxy,0
1pzo,0
1nym,0
