cnn_score,smina_score,lig_rmsd,fmax_rmsd,system,smina_rank
0.425368,-12.8786,5.3430,0.7906,1a0q,10
0.192636,-12.7696,5.0309,3.0817,1a0q,11
0.606372,-12.6991,5.1568,4.1419,1a0q,12
0.290894,-12.5532,4.1109,2.8805,1a0q,13
0.009944,-12.4580,6.2883,2.7609,1a0q,14
0.028725,-12.1378,8.9820,4.8404,1a0q,15
0.351793,-12.1248,7.9746,2.7955,1a0q,16
0.185948,-12.1021,5.9169,1.3763,1a0q,17
0.194868,-12.0617,4.6410,0.8700,1a0q,18
0.125335,-11.7678,5.4321,3.3855,1a0q,19
0.643909,-14.6986,2.4246,0.8660,1a0q,1
0.189071,-13.6367,5.8854,1.2248,1a0q,2
0.333287,-13.5111,5.3870,3.6845,1a0q,3
0.196963,-13.3849,6.1234,3.7225,1a0q,4
0.395764,-13.3701,6.5018,2.7869,1a0q,5
0.075694,-13.2861,7.0406,1.2863,1a0q,6
0.444956,-13.1260,4.5962,3.6668,1a0q,7
0.021685,-13.0498,3.3627,1.1362,1a0q,8
0.205033,-12.9575,3.6816,1.1780,1a0q,9
0.990699,-12.7990,1.4060,0.4665,1a0q,0
0.001161,-10.2559,6.4673,1.8209,1a30,10
0.002115,-10.1493,6.8431,1.8088,1a30,11
0.007160,-9.8762,5.2616,1.9881,1a30,12
0.008234,-9.8549,6.1650,1.6760,1a30,13
0.000540,-9.6817,5.0246,0.7257,1a30,14
0.000049,-9.6165,4.7938,0.8292,1a30,15
0.000056,-9.5781,10.6054,0.7378,1a30,16
0.000284,-9.5502,6.1418,2.0610,1a30,17
0.000235,-9.5343,6.3275,0.7335,1a30,18
0.000509,-9.4913,6.6331,1.0023,1a30,19
0.031050,-11.2902,8.1227,0.9934,1a30,1
0.004140,-9.4807,11.3111,1.8214,1a30,20
0.006827,-10.8971,5.4807,0.7730,1a30,2
0.021949,-10.6160,12.4116,2.0086,1a30,3
0.003258,-10.5994,1.0043,0.7286,1a30,4
0.000790,-10.5770,6.5122,0.8491,1a30,5
0.000858,-10.4891,7.7058,1.0423,1a30,6
0.000211,-10.3691,5.4032,2.1256,1a30,7
0.001358,-10.3159,6.3462,2.1730,1a30,8
0.002764,-10.2660,6.5705,1.0205,1a30,9
0.176001,-10.7060,0.6734,0.7314,1a30,0
0.007088,-12.5460,3.9055,1.2673,1a42,10
0.014592,-12.2744,4.6540,4.2040,1a42,11
0.001226,-12.2731,7.7897,1.2729,1a42,12
0.006984,-12.1634,8.8823,1.2630,1a42,13
0.000480,-12.1033,8.2759,1.3579,1a42,14
0.057016,-15.0282,4.8087,1.2659,1a42,1
0.101032,-14.5980,0.6190,1.2627,1a42,2
0.145692,-13.8585,5.8892,1.2947,1a42,3
0.002351,-13.7795,7.5145,1.6243,1a42,4
0.001635,-13.2004,5.7874,1.2636,1a42,5
0.001505,-13.0119,5.7219,1.2634,1a42,6
0.000543,-12.9145,4.5628,1.5136,1a42,7
0.000312,-12.6165,6.5153,1.2634,1a42,8
0.000768,-12.5790,7.2749,1.2632,1a42,9
0.998429,-14.7179,0.6404,1.2610,1a42,0
0.210832,-5.3773,5.3754,0.1472,1a5v,10
0.052364,-5.1533,6.9155,1.5451,1a5v,11
0.025683,-5.1315,6.8849,1.4200,1a5v,12
0.017259,-5.1315,8.4767,0.1727,1a5v,13
0.030952,-4.7970,6.6980,0.5842,1a5v,14
0.008089,-4.7866,6.9296,0.1722,1a5v,15
0.028481,-4.6513,7.5354,1.4870,1a5v,16
0.004492,-4.6489,7.9191,0.1654,1a5v,17
0.019317,-4.4769,11.8010,1.4197,1a5v,18
0.006358,-4.3331,9.9810,0.1980,1a5v,19
0.495906,-6.0867,2.6732,0.1960,1a5v,1
0.031894,-4.3068,10.6833,0.7017,1a5v,20
0.469531,-6.0792,4.6903,0.2327,1a5v,2
0.042978,-5.9380,9.2907,1.4060,1a5v,3
0.309687,-5.9379,5.9714,0.1598,1a5v,4
0.039334,-5.7110,0.8470,1.4908,1a5v,5
0.062901,-5.5840,9.0864,0.2292,1a5v,6
