cnn_score,smina_score,lig_rmsd,fmax_rmsd,system,smina_rank
0.962398,-9.9377,0.3399,0.3714,16pk,0
0.069124,-8.6752,13.8974,1.3323,16pk,10
0.000746,-8.6596,13.1299,2.6367,16pk,11
0.015363,-8.6586,5.8965,1.8078,16pk,12
0.059561,-8.6444,9.4874,1.3749,16pk,13
0.044862,-8.6311,11.6257,2.3793,16pk,14
0.004290,-8.5542,12.3804,2.9036,16pk,15
0.000466,-8.5058,14.0503,3.0549,16pk,16
0.003484,-8.4877,14.5070,0.6828,16pk,17
0.703071,-8.3573,4.4806,1.7364,16pk,18
0.001804,-8.3220,13.0915,0.4926,16pk,19
0.922730,-10.2579,4.0276,0.3256,16pk,1
0.011966,-8.2231,14.4187,2.2039,16pk,20
0.984924,-9.8882,3.9912,0.7902,16pk,2
0.977415,-9.7819,3.7698,0.4551,16pk,3
0.970895,-9.7376,0.8175,0.5292,16pk,4
0.902204,-9.3360,3.9299,0.2712,16pk,5
0.001326,-9.0853,12.5413,1.6224,16pk,6
0.990187,-8.9968,5.2929,0.4590,16pk,7
0.895571,-8.9227,4.4932,1.5913,16pk,8
0.648861,-8.9202,4.3241,1.9043,16pk,9
0.997931,-15.2157,0.4634,0.6011,184l,0
0.998188,-14.2553,0.6716,0.8897,184l,1
0.997836,-13.8668,4.1524,0.7622,184l,2
0.996833,-13.8257,4.2052,0.6897,184l,3
0.986212,-12.1831,2.9756,0.9105,184l,4
0.036794,-11.4885,9.5224,0.8890,184l,5
0.608438,-11.2563,14.3079,0.8885,184l,6
0.995548,-18.7812,0.4299,0.2955,185l,0
0.995459,-19.5939,0.4861,0.2671,185l,1
0.992761,-19.5138,1.9759,1.0897,185l,2
0.995544,-19.0520,3.6376,1.0989,185l,3
0.974438,-17.8109,3.7201,1.1474,185l,4
0.589584,-17.4329,13.8824,0.8769,185l,5
0.270576,-16.9723,13.4130,0.8774,185l,6
0.501642,-16.6520,10.0916,0.8792,185l,7
