cnn_score,smina_score,lig_rmsd,fmax_rmsd,rank
0.000269,-11.0846,10.4308,1.4966,10
0.002688,-11.0612,11.6209,1.5154,11
0.000166,-10.8856,9.1314,2.6719,12
0.003143,-10.8254,6.5142,1.3242,13
0.038298,-10.7973,6.9775,0.9116,14
0.000765,-10.7634,7.3956,2.6116,15
0.000136,-10.7561,9.5548,1.7045,16
0.001763,-10.6910,12.4437,2.6586,17
0.000035,-10.6441,5.6971,2.6455,18
0.000638,-10.3949,6.3100,2.3664,19
0.000651,-12.2662,5.9461,1.7810,1
0.002375,-10.3477,14.3731,1.3285,20
0.001686,-11.9774,5.5484,0.9623,2
0.000010,-11.9216,7.1300,1.7682,3
0.002903,-11.5863,5.7368,1.5114,4
0.007239,-11.3182,7.1922,2.5810,5
0.000168,-11.3107,10.9995,1.4803,6
0.002283,-11.2418,10.2395,1.7103,7
0.000024,-11.2367,10.0724,2.7711,8
0.003689,-11.1132,6.0960,1.7568,9
0.004531,-12.2928,5.9720,1.8297,10
0.006405,-12.1478,3.7681,2.9951,11
0.000224,-12.0650,7.6620,1.7893,12
0.000206,-11.9118,6.2298,2.3631,13
0.000005,-11.9092,6.4785,1.9374,14
0.000032,-11.9009,6.0220,2.8907,15
0.003677,-11.8538,5.6239,3.0236,16
0.001678,-11.8134,3.7942,2.0845,17
0.001170,-11.7858,6.1332,3.0133,18
0.022722,-11.7633,7.3621,1.9870,19
0.002726,-13.2072,6.6286,3.1531,1
0.005943,-11.6449,6.5170,3.1829,20
0.000118,-12.9907,6.6260,1.2496,2
0.001703,-12.8609,5.2579,2.1463,3
0.013010,-12.6305,5.3509,2.2963,4
0.060546,-12.4929,4.9437,2.2731,5
0.002977,-12.3956,5.6460,2.9261,6
0.000203,-12.3870,5.9360,1.7882,7
0.039388,-12.3235,5.5090,1.5571,8
0.000034,-12.3193,5.9870,1.7644,9
0.035851,-11.9252,10.5802,3.0413,10
0.078347,-11.9077,10.0294,2.9079,11
0.040202,-11.8785,2.8155,0.9963,12
0.037406,-11.8277,10.5000,3.1273,13
0.012257,-11.8008,10.4864,0.9972,14
0.021390,-11.7808,10.2423,3.1552,15
0.003685,-11.7391,11.5228,1.9359,16
0.299411,-11.7160,10.1765,3.0580,17
0.017836,-11.4612,10.4463,1.0862,18
0.003744,-11.3708,12.7592,1.0325,19
0.031627,-13.4694,6.1419,3.1537,1
0.017008,-11.2841,3.6810,2.3208,20
0.036758,-13.4460,6.0580,0.7626,2
0.111445,-13.1723,11.1586,3.2522,3
0.006590,-12.6850,5.9896,0.9961,4
0.068363,-12.6200,6.8766,3.1151,5
0.000223,-12.5323,6.4578,1.8474,6
0.012482,-12.2198,2.5144,1.0043,7
0.001584,-12.0790,10.9919,1.0647,8
0.000385,-12.0397,7.7012,1.8532,9
0.339389,-7.7434,6.3850,3.2259,10
0.050298,-7.6994,10.7344,2.5904,11
0.027734,-7.6643,10.7974,3.1083,12
0.003836,-7.6571,11.8869,3.1909,13
0.030026,-7.6207,6.6281,3.3678,14
0.178896,-7.5484,6.2064,2.0522,15
0.004885,-7.5400,8.0232,3.5392,16
0.007124,-7.5158,8.4274,3.1093,17
0.010512,-7.4997,9.3978,2.6660,18
0.001640,-7.3940,12.6561,3.2590,19
0.063745,-8.3797,7.4770,3.9163,1
0.000496,-7.3192,6.4422,3.8425,20
0.147018,-8.2125,7.6236,2.6392,2
0.532581,-8.2062,5.9222,2.9630,3
0.106144,-7.9904,11.2687,2.9790,4
0.040015,-7.9827,11.5315,2.9444,5
0.111935,-7.9495,7.7937,3.3525,6
0.007394,-7.8403,10.5765,2.6140,7
0.043513,-7.7983,6.9252,3.3540,8
0.064631,-7.7582,10.9587,2.4521,9
0.087853,-16.9722,9.6069,2.6959,10
0.021106,-16.8171,11.1773,1.9646,11
0.045625,-16.6585,6.8595,2.7182,12
0.007957,-16.6137,11.3460,2.5638,13
0.000865,-16.6056,10.0997,2.8952,14
0.000413,-16.5298,10.8027,2.9089,15
0.078572,-16.4824,11.5050,2.8232,16
0.115229,-16.4476,8.1250,1.9035,17
0.000100,-16.3102,9.3913,2.8668,18
0.000216,-16.0112,10.4423,1.9881,19
0.945652,-18.6700,10.7781,2.6433,1
0.016922,-15.9370,7.8654,1.9311,20
0.242608,-18.1209,4.1057,2.7378,2
0.769992,-17.8040,9.9459,2.8172,3
0.002473,-17.6680,10.5135,2.7392,4
0.029055,-17.5844,8.6980,1.8771,5
0.019634,-17.5279,10.5225,2.7121,6
0.002123,-17.3458,9.4882,2.6225,7
0.302679,-16.9875,6.2638,2.1280,8
0.002012,-16.9873,10.6904,2.6859,9
0.333222,-15.3094,0.6396,2.5796,10
0.090225,-15.2996,5.1161,3.4290,11
0.389049,-14.9933,7.3291,3.2365,12
0.004922,-14.8999,5.1039,3.4256,13
0.246611,-14.8701,7.2687,3.4252,14
0.302620,-14.8186,4.3409,3.5504,15
0.025410,-14.4933,5.1378,3.2276,16
0.497248,-14.3944,7.3374,2.6458,17
0.014862,-14.3694,5.1186,3.7999,18
0.034769,-14.3468,4.6436,2.8521,19
0.052151,-15.8459,3.2351,2.6158,1
0.632132,-14.2841,7.3437,5.1555,20
0.896356,-15.7485,6.7744,2.2752,2
0.009592,-15.5857,3.3644,3.2976,3
0.175605,-15.5817,0.4694,3.4340,4
0.018412,-15.5325,3.1916,2.0219,5
0.578074,-15.5016,0.9178,3.6187,6
0.801698,-15.4714,0.8419,4.1327,7
0.626898,-15.4707,6.8204,2.8895,8
0.250507,-15.3974,6.7105,3.4346,9
0.000003,-13.0700,5.8832,2.0015,10
0.000971,-13.0451,3.2886,1.5022,11
0.000002,-13.0290,7.6025,2.1369,12
0.000060,-13.0198,11.4604,3.2780,13
0.000019,-12.9876,7.6794,1.5018,14
0.000005,-12.9432,7.0735,1.4281,15
0.000216,-12.8635,8.6697,3.4803,16
0.000552,-12.8508,5.8706,3.3661,17
0.000012,-12.8488,10.9571,3.0825,18
0.000010,-12.8362,5.8776,3.3802,19
0.004673,-13.7469,6.6027,1.6222,1
0.000009,-12.7795,6.7518,1.4292,20
0.000005,-13.5547,7.8066,2.3513,2
0.005306,-13.3216,7.1272,3.3570,3
0.000251,-13.2679,5.2665,3.3843,4
0.000001,-13.1514,8.6625,2.7721,5
0.000004,-13.1502,8.9037,2.7397,6
0.000233,-13.1217,7.1329,3.0709,7
0.000041,-13.0975,6.8006,1.4714,8
0.000001,-13.0787,9.2534,1.9556,9
0.994904,-14.6945,0.5122,2.2211,1
0.982575,-13.5371,6.0744,2.8735,2
0.987521,-12.2979,6.2010,2.2536,3
0.005298,-5.2818,10.2400,0.9594,10
0.001069,-5.0259,10.3831,3.8837,11
0.002037,-4.9114,12.9371,0.7613,12
0.053992,-4.8631,12.4312,0.9608,13
0.019652,-4.8498,2.7112,3.0081,14
0.002930,-4.7218,13.1511,0.9592,15
0.000786,-4.5958,12.7209,3.6212,16
0.000931,-4.4451,11.1504,3.6159,17
0.001356,-4.3439,12.8470,3.8536,18
0.000308,-4.3311,7.5973,3.6291,19
0.053219,-6.6974,4.1201,2.9939,1
0.015954,-4.2104,12.4938,3.1847,20
0.087975,-6.6281,3.3773,3.1458,2
0.437705,-6.5877,3.4902,0.9592,3
0.292127,-6.4847,4.3353,3.0446,4
0.370738,-6.1042,4.2699,0.7601,5
0.111169,-5.8649,4.1747,1.0025,6
0.012639,-5.5523,0.9730,1.0045,7
0.006368,-5.5367,4.7237,0.7625,8
0.003599,-5.3223,12.4699,0.7649,9
0.998994,-16.8988,0.4103,0.1864,1
0.998124,-14.0906,5.0449,0.6349,2
0.999095,-19.7523,1.9903,0.8256,1
0.000034,-11.1212,13.5283,0.7213,10
0.086633,-11.0584,2.1183,0.9012,11
0.018409,-10.9758,4.4923,2.1144,12
0.334199,-13.8510,0.7414,1.5936,1
0.020825,-12.5419,9.7817,2.2659,2
0.000769,-12.3677,10.1780,1.0267,3
0.000181,-12.2090,10.8928,1.0442,4
0.014087,-12.1747,11.4875,0.8694,5
0.000274,-12.0353,17.1615,0.8529,6
0.037269,-11.8278,9.6466,1.9985,7
0.005080,-11.6031,10.0586,0.8607,8
0.004555,-11.4884,11.3649,1.6364,9
0.901096,-6.6820,3.2878,0.9217,10
0.985752,-9.4934,0.7690,0.7446,1
0.974340,-9.3540,0.7227,0.6960,2
