cnn_score,smina_score,lig_rmsd,fmax_rmsd,system,smina_rank
0.984819,-14.8759,0.8466,0.8916,184l,1
0.966471,-14.7126,4.1638,0.8886,184l,2
0.978402,-14.0496,4.1204,0.9276,184l,3
0.110694,-12.3452,9.3940,0.8907,184l,4
0.043421,-11.9960,9.6727,0.8900,184l,5
0.984530,-19.1175,0.4622,0.4331,185l,1
0.980630,-18.7503,3.6460,1.0950,185l,2
0.935784,-17.3318,3.7491,1.1511,185l,3
0.959020,-16.9679,3.0686,1.1366,185l,4
0.377163,-16.3223,13.4101,0.8831,185l,5
0.639143,-16.2566,12.8082,1.0949,185l,6
0.441599,-16.1480,13.1926,0.8795,185l,7
0.279930,-16.1299,12.6808,0.8719,185l,8
0.990517,-15.9283,0.8981,0.8234,186l,1
0.987859,-14.2138,4.4554,0.6284,186l,2
0.992003,-14.1373,0.7545,0.8482,187l,1
0.991992,-14.1132,0.7291,0.8492,187l,2
0.979615,-13.9200,2.7533,1.0613,187l,3
0.974964,-11.6050,2.3696,1.4294,187l,4
0.162984,-11.3954,12.0083,0.8716,187l,5
0.958953,-11.3558,2.6803,1.2493,187l,6
0.990373,-13.7111,1.9291,0.8449,188l,1
0.990210,-13.6013,2.6497,0.8491,188l,2
0.986718,-12.7227,1.9362,0.4159,188l,3
0.335667,-11.4938,9.4533,0.8451,188l,4
0.237647,-10.9686,9.9933,0.8455,188l,5
0.000036,-6.0277,11.7811,1.4381,1a07,10
0.000647,-5.9819,10.2518,2.0575,1a07,11
0.000201,-5.9678,11.8666,1.2994,1a07,12
0.010025,-5.8847,10.2865,1.7715,1a07,13
0.000577,-5.8639,11.1653,2.7772,1a07,14
0.000060,-5.8458,11.4393,2.9519,1a07,15
0.000111,-5.7958,10.1531,1.7281,1a07,16
0.003357,-5.7808,8.8397,1.7707,1a07,17
0.000036,-5.7801,10.4922,1.9904,1a07,18
0.007319,-5.7417,9.5216,1.2981,1a07,19
0.000560,-6.3801,10.4257,1.7280,1a07,1
0.000096,-5.7170,10.6293,1.7312,1a07,20
0.002208,-6.3499,9.9374,1.2402,1a07,2
0.000203,-6.2017,11.5708,1.6124,1a07,3
0.000928,-6.1993,12.1233,1.5769,1a07,4
0.011891,-6.1636,10.2009,3.0897,1a07,5
0.001225,-6.1051,8.9226,1.6688,1a07,6
0.004622,-6.1008,9.6455,1.8544,1a07,7
0.005584,-6.0835,10.1607,1.7640,1a07,8
0.000525,-6.0700,12.2400,2.0245,1a07,9
0.001863,-5.4195,10.7028,3.2119,1a08,10
0.000816,-5.4107,9.0848,1.4358,1a08,11
0.000134,-5.4012,7.1033,1.3614,1a08,12
0.034683,-5.2270,8.5592,3.2052,1a08,13
0.000038,-5.2165,9.5674,2.5071,1a08,14
0.000246,-5.1956,17.4823,3.2462,1a08,15
0.000056,-5.1917,6.5273,3.1930,1a08,16
0.000415,-5.1410,12.1075,3.1115,1a08,17
0.000493,-5.1328,9.4267,3.2430,1a08,18
0.000308,-5.0708,10.3391,1.3557,1a08,19
0.013590,-6.2382,3.7920,3.2319,1a08,1
0.000098,-5.0569,9.2045,3.2086,1a08,20
0.017432,-6.0715,7.7653,2.7711,1a08,2
0.006260,-6.0246,8.2954,3.0408,1a08,3
0.001226,-5.9150,8.6474,1.3039,1a08,4
0.000186,-5.9114,4.2183,1.1198,1a08,5
0.000981,-5.6869,12.9303,1.1088,1a08,6
0.001486,-5.5940,7.7584,2.8878,1a08,7
0.003287,-5.5685,9.2946,3.1129,1a08,8
0.001199,-5.5151,8.8196,3.0697,1a08,9
0.006746,-8.2786,16.1991,2.7408,1a09,10
0.001076,-8.2287,17.4761,2.0516,1a09,11
0.000833,-8.1429,6.0706,2.1252,1a09,12
0.005776,-8.1331,5.5330,2.3014,1a09,13
0.003417,-8.1182,9.1134,2.2996,1a09,14
0.008757,-8.1089,6.8763,1.9068,1a09,15
0.000698,-8.0746,8.9093,2.0385,1a09,16
0.000178,-8.0245,5.8683,2.3815,1a09,17
0.000175,-8.0107,8.2024,2.6770,1a09,18
0.000216,-7.9886,8.2047,3.2213,1a09,19
0.004380,-9.9696,3.9329,1.3506,1a09,1
0.000923,-7.9477,12.7404,2.2517,1a09,20
0.023470,-9.8165,5.4992,2.3827,1a09,2
0.000085,-9.3308,8.0221,2.3702,1a09,3
0.000425,-9.2326,16.0715,2.0296,1a09,4
0.008076,-9.0490,5.6644,2.8154,1a09,5
0.004389,-8.9591,5.5994,2.0021,1a09,6
0.001713,-8.7828,8.2386,2.3538,1a09,7
0.006283,-8.6794,8.3316,2.7865,1a09,8
0.061465,-8.5652,12.4764,2.3923,1a09,9
0.001306,-12.8786,5.3430,0.7906,1a0q,10
0.002548,-12.7696,5.0309,3.0817,1a0q,11
0.002651,-12.6991,5.1568,4.1419,1a0q,12
0.008522,-12.5532,4.1109,2.8805,1a0q,13
0.000254,-12.4580,6.2883,2.7609,1a0q,14
0.004615,-12.1378,8.9820,4.8404,1a0q,15
0.002714,-12.1248,7.9746,2.7955,1a0q,16
0.000919,-12.1021,5.9169,1.3763,1a0q,17
0.003725,-12.0617,4.6410,0.8700,1a0q,18
0.007067,-11.7678,5.4321,3.3855,1a0q,19
0.209571,-14.6986,2.4246,0.8660,1a0q,1
0.011841,-13.6367,5.8854,1.2248,1a0q,2
0.011588,-13.5111,5.3870,3.6845,1a0q,3
0.007275,-13.3849,6.1234,3.7225,1a0q,4
0.006171,-13.3701,6.5018,2.7869,1a0q,5
0.021549,-13.2861,7.0406,1.2863,1a0q,6
0.031196,-13.1260,4.5962,3.6668,1a0q,7
0.013544,-13.0498,3.3627,1.1362,1a0q,8
