cnn_score,smina_score,lig_rmsd,fmax_rmsd,system,smina_rank
0.984274,-12.0832,0.7684,0.5097,10gs,0
0.001628,-12.2375,9.8202,2.6263,10gs,10
0.078025,-12.2257,4.2059,3.2555,10gs,11
0.019482,-12.1356,11.1097,1.5324,10gs,12
0.003999,-12.1273,6.2840,3.1077,10gs,13
0.000646,-12.0848,11.3628,2.7880,10gs,14
0.002847,-12.0400,4.3497,2.9218,10gs,15
0.005458,-12.0244,5.8091,3.1455,10gs,16
0.556236,-11.9706,4.2169,1.4927,10gs,17
0.000398,-11.9633,9.6565,2.1088,10gs,18
0.089763,-11.8615,4.5438,3.3270,10gs,19
0.000120,-12.9154,8.8547,3.2438,10gs,1
0.006092,-11.7032,6.2477,3.0482,10gs,20
0.018445,-12.8036,5.2221,3.3016,10gs,2
0.000196,-12.6702,8.8699,3.2277,10gs,3
0.022833,-12.5560,5.1110,2.2982,10gs,4
0.211855,-12.4474,7.3143,1.5516,10gs,5
0.183230,-12.4091,4.5772,2.7399,10gs,6
0.000245,-12.3575,11.0734,3.2825,10gs,7
0.064413,-12.2856,3.2174,2.8111,10gs,8
0.338509,-12.2505,8.1229,3.1770,10gs,9
0.990555,-13.3965,0.6739,0.4988,11gs,0
0.083774,-13.2114,4.8063,1.2658,11gs,10
0.006149,-13.1736,6.2290,1.9127,11gs,11
0.077790,-13.0619,6.4986,1.4349,11gs,12
0.002554,-13.0192,6.9346,2.5741,11gs,13
0.001119,-12.9773,7.1006,2.3306,11gs,14
0.000144,-12.9599,5.8870,1.9025,11gs,15
0.001707,-12.9142,5.1848,2.1139,11gs,16
0.000184,-12.9054,7.1914,2.9279,11gs,17
0.025471,-12.8920,7.8585,2.1179,11gs,18
0.010031,-12.7787,6.2013,2.5080,11gs,19
0.002163,-14.1501,5.8753,2.0748,11gs,1
0.010780,-12.7313,6.5743,3.1427,11gs,20
0.000698,-14.0220,7.0948,2.4716,11gs,2
0.002981,-13.6779,6.3311,2.4644,11gs,3
0.000710,-13.6307,8.2382,2.4726,11gs,4
0.000158,-13.4976,6.5168,2.6227,11gs,5
0.001706,-13.4691,7.0682,2.0436,11gs,6
0.000025,-13.3899,7.7933,2.1224,11gs,7
0.000888,-13.3361,5.3462,2.5059,11gs,8
0.000222,-13.3071,7.3853,2.2642,11gs,9
0.351318,-11.0320,1.4826,1.1864,13gs,0
0.401843,-12.0665,9.9647,3.2138,13gs,10
0.777936,-11.7983,10.3391,2.8336,13gs,11
0.112077,-11.7722,7.0320,2.8747,13gs,12
0.249343,-11.7065,5.9230,3.1982,13gs,13
0.428727,-11.6128,2.4520,2.5264,13gs,14
0.426225,-11.5824,10.1781,3.2647,13gs,15
0.625658,-11.3145,10.0447,2.6155,13gs,16
0.769417,-11.3072,10.3550,2.8789,13gs,17
0.245492,-11.2888,10.6241,3.1086,13gs,18
0.166109,-11.1466,6.8035,3.0038,13gs,19
